  r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.07   k: 7.00
17.98   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.04   k: 7.00
17.99   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.05   k: 7.00
18.00   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.05   k: 7.00
18.00   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.05   k: 7.00
18.01   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.05   k: 7.00
18.02   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.05   k: 7.00
18.03   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.05   k: 7.00
18.03   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.04   k: 7.00
18.04   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.05   k: 7.00
18.05   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.05   k: 7.00
18.06   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.05   k: 7.00
18.07   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.05   k: 7.00
18.07   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.05   k: 7.00
18.08   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.05   k: 7.00
18.09   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.05   k: 7.00
18.10   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.05   k: 7.00
18.10   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.06   k: 7.00
18.11   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.06   k: 7.00
18.12   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.06   k: 7.00
18.13   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.06   k: 7.00
18.14   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.06   k: 7.00
18.14   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.06   k: 7.00
18.15   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.06   k: 7.00
18.16   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.07   k: 7.00
18.17   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.07   k: 7.00
18.17   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.06   k: 7.00
18.18   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.06   k: 7.00
18.19   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.06   k: 7.00
18.20   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.06   k: 7.00
18.21   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.06   k: 7.00
18.21   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.07   k: 7.00
18.22   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.06   k: 7.00
18.23   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.07   k: 7.00
18.24   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.07   k: 7.00
18.25   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.08   k: 7.00
